cas_number,catalog_sources,commercial_availability_verified,formula,inchi_key,model_rejections,models,molecular_weight_g_mol,molecule_group,name,pair_id,parameter_sha256,preparable_without_new_synthesis,pure_boiling_temperature_k,pure_melting_temperature_k,safety_review_status,smiles
78-84-2,"[""ChemSep NRTL""]",False,C4H8O,AMIMRNSIRUDHCM-UHFFFAOYSA-N,{},"{""chemsep_nrtl"": {""alpha_cs"": [[0.0, 0.2862], [0.2862, 0.0]], ""component_order"": [""7732-18-5"", ""78-84-2""], ""fit_temperature_range_k"": null, ""independent_validation"": false, ""source"": ""thermo.IPDB:ChemSep NRTL"", ""table_metadata"": {""P dependent"": false, ""T dependent"": true, ""components"": 2, ""missing"": {""alphaij"": 0.3, ""bij"": 0}, ""necessary keys"": [""bij"", ""alphaij""], ""source"": ""ChemSep"", ""symmetric"": false, ""type"": ""NRTL original T""}, ""tau_bs_k"": [[0.0, 548.5224758654324], [587.1733088968255, 0.0]], ""temperature_expression"": ""tau_ij = bij / T""}, ""unifac_dortmund"": {""fit_temperature_range_k"": null, ""groups"": [{""16"": 1}, {""1"": 2, ""3"": 1, ""20"": 1}], ""independent_validation"": false, ""interaction_sha256"": ""7541de8648bb204a2a184087b6fdbcd7df5acada47829704561185c8fc770d73"", ""missing_interactions"": [], ""parameter_set"": ""DOUFIP2016"", ""subgroups_sha256"": ""afaa5322207060c5fe468dab340a150071a68ed5131ce31b1854910ebab8e5d2""}}",72.107,AMIMRNSIRUDHCM,isobutyraldehyde,water-AMIMRNSIRUDHCM-UHFFFAOYSA-N,7ceaf2158c88f7ae2c30e7895f4e3c1d434538abf29491743695d6a706386322,known_identity_not_procurement_verified,337.25,208.15,not_reviewed,CC(C)C=O
67-64-1,"[""ChemSep NRTL""]",False,C3H6O,CSCPPACGZOOCGX-UHFFFAOYSA-N,{},"{""chemsep_nrtl"": {""alpha_cs"": [[0.0, 0.5663], [0.5663, 0.0]], ""component_order"": [""7732-18-5"", ""67-64-1""], ""fit_temperature_range_k"": null, ""independent_validation"": false, ""source"": ""thermo.IPDB:ChemSep NRTL"", ""table_metadata"": {""P dependent"": false, ""T dependent"": true, ""components"": 2, ""missing"": {""alphaij"": 0.3, ""bij"": 0}, ""necessary keys"": [""bij"", ""alphaij""], ""source"": ""ChemSep"", ""symmetric"": false, ""type"": ""NRTL original T""}, ""tau_bs_k"": [[0.0, 666.7541568707342], [409.6929122710524, 0.0]], ""temperature_expression"": ""tau_ij = bij / T""}, ""unifac_dortmund"": {""fit_temperature_range_k"": null, ""groups"": [{""16"": 1}, {""1"": 1, ""18"": 1}], ""independent_validation"": false, ""interaction_sha256"": ""2343100affea425dc9863f94555d58faecc3825c422390307d7ca8a96313890f"", ""missing_interactions"": [], ""parameter_set"": ""DOUFIP2016"", ""subgroups_sha256"": ""a19a50e36242e7045fe92d6d4622ea2e52bf1a59491e53610e8e3840dec7993c""}}",58.08,CSCPPACGZOOCGX,acetone,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,123280bdfd6ba9074714726aa0c01f339b400a2e47cf303d79163ee491da8fec,known_identity_not_procurement_verified,329.224922705,178.35,not_reviewed,CC(C)=O
123-86-4,"[""ChemSep NRTL""]",False,C6H12O2,DKPFZGUDAPQIHT-UHFFFAOYSA-N,{},"{""chemsep_nrtl"": {""alpha_cs"": [[0.0, 0.2951], [0.2951, 0.0]], ""component_order"": [""7732-18-5"", ""123-86-4""], ""fit_temperature_range_k"": null, ""independent_validation"": false, ""source"": ""thermo.IPDB:ChemSep NRTL"", ""table_metadata"": {""P dependent"": false, ""T dependent"": true, ""components"": 2, ""missing"": {""alphaij"": 0.3, ""bij"": 0}, ""necessary keys"": [""bij"", ""alphaij""], ""source"": ""ChemSep"", ""symmetric"": false, ""type"": ""NRTL original T""}, ""tau_bs_k"": [[0.0, 1914.7522371970313], [462.07726055702034, 0.0]], ""temperature_expression"": ""tau_ij = bij / T""}, ""unifac_dortmund"": {""fit_temperature_range_k"": null, ""groups"": [{""16"": 1}, {""1"": 1, ""2"": 3, ""21"": 1}], ""independent_validation"": false, ""interaction_sha256"": ""1202f09f758b032e42d237d935452523ae3c14e2cecbbb151a95ba302233d7ae"", ""missing_interactions"": [], ""parameter_set"": ""DOUFIP2016"", ""subgroups_sha256"": ""acc787e762c655110d9a70cb2f032ed30b2638a7a09ad8b61f88064b452dad9c""}}",116.15999999999998,DKPFZGUDAPQIHT,butyl acetate,water-DKPFZGUDAPQIHT-UHFFFAOYSA-N,5962e55f867f3d8263d106341253bcdcf40f3eeb50f3e738d89da00e61528c8a,known_identity_not_procurement_verified,399.15,195.15,not_reviewed,CCCCOC(C)=O
98-01-1,"[""ChemSep NRTL""]",False,C5H4O2,HYBBIBNJHNGZAN-UHFFFAOYSA-N,{},"{""chemsep_nrtl"": {""alpha_cs"": [[0.0, 0.395], [0.395, 0.0]], ""component_order"": [""7732-18-5"", ""98-01-1""], ""fit_temperature_range_k"": null, ""independent_validation"": false, ""source"": ""thermo.IPDB:ChemSep NRTL"", ""table_metadata"": {""P dependent"": false, ""T dependent"": true, ""components"": 2, ""missing"": {""alphaij"": 0.3, ""bij"": 0}, ""necessary keys"": [""bij"", ""alphaij""], ""source"": ""ChemSep"", ""symmetric"": false, ""type"": ""NRTL original T""}, ""tau_bs_k"": [[0.0, 1309.6979782944409], [219.8911350456088, 0.0]], ""temperature_expression"": ""tau_ij = bij / T""}, ""unifac_dortmund"": {""fit_temperature_range_k"": null, ""groups"": [{""16"": 1}, {""61"": 1}], ""independent_validation"": false, ""interaction_sha256"": ""830ff8f3eab780a5e6c049d6a43d5d947ece316f4ca6c179129706432a8fa9c9"", ""missing_interactions"": [], ""parameter_set"": ""DOUFIP2016"", ""subgroups_sha256"": ""e0d406cd6b6c942110b9d2986f98e760a5a87efb44645caaabef32183dda1832""}}",96.08499999999998,HYBBIBNJHNGZAN,2-furaldehyde,water-HYBBIBNJHNGZAN-UHFFFAOYSA-N,a6f0c4dc4f724e6d9936c814e20ed6e0fd65821c0460eb133da28163bcd7f553,known_identity_not_procurement_verified,434.65,235.9,not_reviewed,O=Cc1ccco1
108-94-1,"[""ChemSep NRTL""]",False,C6H10O,JHIVVAPYMSGYDF-UHFFFAOYSA-N,{},"{""chemsep_nrtl"": {""alpha_cs"": [[0.0, 0.2673], [0.2673, 0.0]], ""component_order"": [""7732-18-5"", ""108-94-1""], ""fit_temperature_range_k"": null, ""independent_validation"": false, ""source"": ""thermo.IPDB:ChemSep NRTL"", ""table_metadata"": {""P dependent"": false, ""T dependent"": true, ""components"": 2, ""missing"": {""alphaij"": 0.3, ""bij"": 0}, ""necessary keys"": [""bij"", ""alphaij""], ""source"": ""ChemSep"", ""symmetric"": false, ""type"": ""NRTL original T""}, ""tau_bs_k"": [[0.0, 1501.5563131093872], [-86.38568443759912, 0.0]], ""temperature_expression"": ""tau_ij = bij / T""}, ""unifac_dortmund"": {""fit_temperature_range_k"": null, ""groups"": [{""16"": 1}, {""19"": 1, ""78"": 4}], ""independent_validation"": false, ""interaction_sha256"": ""2bd405b64743a90828f158e89c626c22369e7f9fd81418280c7dd0be3862ea79"", ""missing_interactions"": [], ""parameter_set"": ""DOUFIP2016"", ""subgroups_sha256"": ""665a1eacc15be2ba0ad437755ee1495a60bb7207c61f68ea44a4cb6a0161c737""}}",98.145,JHIVVAPYMSGYDF,cyclohexanone,water-JHIVVAPYMSGYDF-UHFFFAOYSA-N,275c3d73e049571ff40a3edadd11d4a4749391e001ea95c3b76de82189aafc28,known_identity_not_procurement_verified,428.55,243.125,not_reviewed,O=C1CCCCC1
64-17-5,"[""ChemSep NRTL""]",False,C2H6O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,{},"{""chemsep_nrtl"": {""alpha_cs"": [[0.0, 0.2937], [0.2937, 0.0]], ""component_order"": [""7732-18-5"", ""64-17-5""], ""fit_temperature_range_k"": null, ""independent_validation"": false, ""source"": ""thermo.IPDB:ChemSep NRTL"", ""table_metadata"": {""P dependent"": false, ""T dependent"": true, ""components"": 2, ""missing"": {""alphaij"": 0.3, ""bij"": 0}, ""necessary keys"": [""bij"", ""alphaij""], ""source"": ""ChemSep"", ""symmetric"": false, ""type"": ""NRTL original T""}, ""tau_bs_k"": [[0.0, 624.8676222389441], [-29.166654483541816, 0.0]], ""temperature_expression"": ""tau_ij = bij / T""}, ""unifac_dortmund"": {""fit_temperature_range_k"": null, ""groups"": [{""16"": 1}, {""1"": 1, ""2"": 1, ""14"": 1}], ""independent_validation"": false, ""interaction_sha256"": ""0eb3af752334868ca0ff7672967b68b4fc280af869645c0394682607d588eb24"", ""missing_interactions"": [], ""parameter_set"": ""DOUFIP2016"", ""subgroups_sha256"": ""e977465023f2afe74362158870186331c98db91c98c5ba8de151e7730c6ef1d0""}}",46.069,LFQSCWFLJHTTHZ,ethanol,water-LFQSCWFLJHTTHZ-UHFFFAOYSA-N,d00a1e2cbb0e9258918a4b4af9635a53ee6478e4cb279b16a7dca3e26d677887,known_identity_not_procurement_verified,351.570441659,159.05,not_reviewed,CCO
71-36-3,"[""ChemSep NRTL""]",False,C4H10O,LRHPLDYGYMQRHN-UHFFFAOYSA-N,{},"{""chemsep_nrtl"": {""alpha_cs"": [[0.0, 0.4447], [0.4447, 0.0]], ""component_order"": [""7732-18-5"", ""71-36-3""], ""fit_temperature_range_k"": null, ""independent_validation"": false, ""source"": ""thermo.IPDB:ChemSep NRTL"", ""table_metadata"": {""P dependent"": false, ""T dependent"": true, ""components"": 2, ""missing"": {""alphaij"": 0.3, ""bij"": 0}, ""necessary keys"": [""bij"", ""alphaij""], ""source"": ""ChemSep"", ""symmetric"": false, ""type"": ""NRTL original T""}, ""tau_bs_k"": [[0.0, 1325.3268195999854], [253.64181754760426, 0.0]], ""temperature_expression"": ""tau_ij = bij / T""}, ""unifac_dortmund"": {""fit_temperature_range_k"": null, ""groups"": [{""16"": 1}, {""1"": 1, ""2"": 3, ""14"": 1}], ""independent_validation"": false, ""interaction_sha256"": ""0eb3af752334868ca0ff7672967b68b4fc280af869645c0394682607d588eb24"", ""missing_interactions"": [], ""parameter_set"": ""DOUFIP2016"", ""subgroups_sha256"": ""e977465023f2afe74362158870186331c98db91c98c5ba8de151e7730c6ef1d0""}}",74.12299999999999,LRHPLDYGYMQRHN,1-butanol,water-LRHPLDYGYMQRHN-UHFFFAOYSA-N,8bb8c0479ffce6f05918f8f2085545a7fd8585df6ff448cc9e701eec0f62b32d,known_identity_not_procurement_verified,390.75,183.35,not_reviewed,CCCCO
123-92-2,"[""ChemSep NRTL""]",False,C7H14O2,MLFHJEHSLIIPHL-UHFFFAOYSA-N,{},"{""chemsep_nrtl"": {""alpha_cs"": [[0.0, 0.3734], [0.3734, 0.0]], ""component_order"": [""7732-18-5"", ""123-92-2""], ""fit_temperature_range_k"": null, ""independent_validation"": false, ""source"": ""thermo.IPDB:ChemSep NRTL"", ""table_metadata"": {""P dependent"": false, ""T dependent"": true, ""components"": 2, ""missing"": {""alphaij"": 0.3, ""bij"": 0}, ""necessary keys"": [""bij"", ""alphaij""], ""source"": ""ChemSep"", ""symmetric"": false, ""type"": ""NRTL original T""}, ""tau_bs_k"": [[0.0, 943.4846427323755], [431.2372501587351, 0.0]], ""temperature_expression"": ""tau_ij = bij / T""}, ""unifac_dortmund"": {""fit_temperature_range_k"": null, ""groups"": [{""16"": 1}, {""1"": 2, ""2"": 2, ""3"": 1, ""21"": 1}], ""independent_validation"": false, ""interaction_sha256"": ""1202f09f758b032e42d237d935452523ae3c14e2cecbbb151a95ba302233d7ae"", ""missing_interactions"": [], ""parameter_set"": ""DOUFIP2016"", ""subgroups_sha256"": ""c27d9952cfba86da7b3d06d4bb3809774f692bf006e5dd8f490473f1ec4f1238""}}",130.18699999999998,MLFHJEHSLIIPHL,isoamyl acetate,water-MLFHJEHSLIIPHL-UHFFFAOYSA-N,a9ef3a14d326301004192c3e4d027263d10af56737b78fcd6900fe1fa02193c5,known_identity_not_procurement_verified,414.75,194.9,not_reviewed,CC(=O)OCCC(C)C
75-85-4,"[""ChemSep NRTL""]",False,C5H12O,MSXVEPNJUHWQHW-UHFFFAOYSA-N,{},"{""chemsep_nrtl"": {""alpha_cs"": [[0.0, 0.0056], [0.0056, 0.0]], ""component_order"": [""7732-18-5"", ""75-85-4""], ""fit_temperature_range_k"": null, ""independent_validation"": false, ""source"": ""thermo.IPDB:ChemSep NRTL"", ""table_metadata"": {""P dependent"": false, ""T dependent"": true, ""components"": 2, ""missing"": {""alphaij"": 0.3, ""bij"": 0}, ""necessary keys"": [""bij"", ""alphaij""], ""source"": ""ChemSep"", ""symmetric"": false, ""type"": ""NRTL original T""}, ""tau_bs_k"": [[0.0, 10037.837486139], [-8006.452397038499, 0.0]], ""temperature_expression"": ""tau_ij = bij / T""}, ""unifac_dortmund"": {""fit_temperature_range_k"": null, ""groups"": [{""16"": 1}, {""1"": 3, ""2"": 1, ""4"": 1, ""82"": 1}], ""independent_validation"": false, ""interaction_sha256"": ""0eb3af752334868ca0ff7672967b68b4fc280af869645c0394682607d588eb24"", ""missing_interactions"": [], ""parameter_set"": ""DOUFIP2016"", ""subgroups_sha256"": ""4127545b31154017ad068f7ba9dc5194a1001f6ff565ed2d27269213d4f50df8""}}",88.14999999999998,MSXVEPNJUHWQHW,2-methyl-2-butanol,water-MSXVEPNJUHWQHW-UHFFFAOYSA-N,289b11cc696ba7a4f298ef239468750e87d27a947b0cfc802469afc5484b1d26,known_identity_not_procurement_verified,375.55,264.05,not_reviewed,CCC(C)(C)O
111-46-6,"[""ChemSep NRTL""]",False,C4H10O3,MTHSVFCYNBDYFN-UHFFFAOYSA-N,{},"{""chemsep_nrtl"": {""alpha_cs"": [[0.0, 0.2974], [0.2974, 0.0]], ""component_order"": [""7732-18-5"", ""111-46-6""], ""fit_temperature_range_k"": null, ""independent_validation"": false, ""source"": ""thermo.IPDB:ChemSep NRTL"", ""table_metadata"": {""P dependent"": false, ""T dependent"": true, ""components"": 2, ""missing"": {""alphaij"": 0.3, ""bij"": 0}, ""necessary keys"": [""bij"", ""alphaij""], ""source"": ""ChemSep"", ""symmetric"": false, ""type"": ""NRTL original T""}, ""tau_bs_k"": [[0.0, 597.1859182768037], [-50.27163139652671, 0.0]], ""temperature_expression"": ""tau_ij = bij / T""}, ""unifac_dortmund"": {""fit_temperature_range_k"": null, ""groups"": [{""16"": 1}, {""2"": 3, ""14"": 2, ""25"": 1}], ""independent_validation"": false, ""interaction_sha256"": ""ca654edee9b09e4683b4dde15e9f94b2608139ec5b1f15cb7e50e754af3d7779"", ""missing_interactions"": [], ""parameter_set"": ""DOUFIP2016"", ""subgroups_sha256"": ""df4bda3b074c18264c3ba8aa11c8476db2eccce1054a53d9ef7010eca6ba9b2b""}}",106.12099999999998,MTHSVFCYNBDYFN,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,adb91494599a6e57a43c1b3dfa37cc300541e556b29d6732f004c40e7b81876b,known_identity_not_procurement_verified,518.65,262.95,not_reviewed,OCCOCCO
