best_mass_fraction,best_mass_ratio_equal_net_heat,best_paired_delta_h_ratio,cas_number,composition_count,failed_or_unpaired_composition_count,max_model_spread_ratio,name,outlet_temperature_k,pair_id,paired_composition_count,paired_gain_above_margin_count,pressure_pa,required_net_heat_reduction_at_best,water_dominated_composition_count
0.0001,1.000047206883885,0.9999527953444997,78-84-2,28,11,0.268166181771196,isobutyraldehyde,350.0,water-AMIMRNSIRUDHCM-UHFFFAOYSA-N,17,0,101325.0,4.7204655500343584e-05,17
0.3,0.5797675803456785,1.7248291106649385,67-64-1,28,0,0.12579408482254817,acetone,350.0,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,28,10,101325.0,0.0,18
0.0001,1.0000472761064838,0.9999527261284408,123-86-4,24,17,0.0009353716517266353,butyl acetate,350.0,water-DKPFZGUDAPQIHT-UHFFFAOYSA-N,7,0,101325.0,4.727387155922802e-05,7
0.0001,1.000061806483699,0.9999381973361063,98-01-1,24,14,0.0023403500283826206,2-furaldehyde,350.0,water-HYBBIBNJHNGZAN-UHFFFAOYSA-N,10,0,101325.0,6.180266389366196e-05,10
0.0001,1.0000527829392076,0.9999472198466839,108-94-1,24,14,0.0017361358742813415,cyclohexanone,350.0,water-JHIVVAPYMSGYDF-UHFFFAOYSA-N,10,0,101325.0,5.278015331611208e-05,10
0.0001,1.0000409771168925,0.9999590245621628,64-17-5,27,0,0.05504596882209378,ethanol,350.0,water-LFQSCWFLJHTTHZ-UHFFFAOYSA-N,27,0,101325.0,4.097543783720958e-05,27
0.0001,1.0000335842577415,0.999966416870123,71-36-3,28,15,0.0035759580102657784,1-butanol,350.0,water-LRHPLDYGYMQRHN-UHFFFAOYSA-N,13,0,101325.0,3.358312987700174e-05,13
0.0001,1.0000488690229374,0.9999511333651273,123-92-2,24,17,0.0009995012899507438,isoamyl acetate,350.0,water-MLFHJEHSLIIPHL-UHFFFAOYSA-N,7,0,101325.0,4.886663487269072e-05,7
0.0001,1.0000220859720543,0.999977914515725,75-85-4,24,13,0.001903714264822054,2-methyl-2-butanol,350.0,water-MSXVEPNJUHWQHW-UHFFFAOYSA-N,11,0,101325.0,2.208548427495849e-05,11
0.0001,1.0000420163449526,0.9999579854203464,111-46-6,30,0,0.05942048893846141,diethylene glycol,350.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,30,0,101325.0,4.201457965358202e-05,0
0.0001,1.000054178095154,0.9999458248399531,109-87-5,28,8,0.3964559638307982,dimethoxymethane,350.0,water-NKDDWNXOKDWJAK-UHFFFAOYSA-N,20,0,101325.0,5.417516004690981e-05,20
0.0001,1.000042285754622,0.9999577160333873,67-56-1,27,0,0.07597463829713391,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,27,0,101325.0,4.22839666126551e-05,27
0.0001,1.0000273999715195,0.9999726007792185,123-51-3,24,15,0.002137730057751419,3-methyl-1-butanol,350.0,water-PHTQWCKDNZKARW-UHFFFAOYSA-N,9,0,101325.0,2.739922078154322e-05,9
0.0001,1.0000446176272229,0.999955384363421,111-76-2,24,14,0.00680155563190743,2-butoxyethanol,350.0,water-POAOYUHQDCAZBD-UHFFFAOYSA-N,10,0,101325.0,4.461563657898182e-05,10
0.0293333333333,0.9681393785265806,1.0329091267023023,60-29-7,24,14,0.021066057611628164,diethyl ether,350.0,water-RTZKZFJDLAIYFH-UHFFFAOYSA-N,10,1,101325.0,0.0,9
,,,98-82-8,24,24,,cumene,350.0,water-RWGFKTVRMDUZSP-UHFFFAOYSA-N,0,0,101325.0,,0
0.0001,1.0000638261661692,0.9999361779073502,123-91-1,24,0,0.006083662293716263,"1,4-dioxane",350.0,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,24,0,101325.0,6.38220926497679e-05,24
0.0001,1.000049151410388,0.9999508510053544,141-79-7,24,14,0.006648699420944371,mesityl oxide,350.0,water-SHOJXDKTYKFBRD-UHFFFAOYSA-N,10,0,101325.0,4.9148994645586974e-05,10
0.0001,1.0000397020333567,0.9999602995428322,123-42-2,30,8,0.022253042290232727,diacetone alcohol,350.0,water-SWXVUIWOUIDPGS-UHFFFAOYSA-N,22,0,101325.0,3.970045716783499e-05,0
0.0001,1.0000435660609859,0.999956435836933,100-51-6,24,20,3.5920798564181844e-05,benzyl alcohol,350.0,water-WVDDGKGOMKODPV-UHFFFAOYSA-N,4,0,101325.0,4.356416306694477e-05,4
0.0001,1.0000573024792492,0.9999427008041367,109-99-9,28,8,0.16447667568028734,tetrahydrofuran,350.0,water-WYURNTSHIVDZCO-UHFFFAOYSA-N,20,0,101325.0,5.7299195863280694e-05,20
0.0001,1.0000510025159255,0.9999490000851984,141-78-6,24,12,0.08734836167848825,ethyl acetate,350.0,water-XEKOWRVHYACXOJ-UHFFFAOYSA-N,12,0,101325.0,5.099991480161936e-05,12
0.0001,1.0000542872363551,0.9999457157105889,108-20-3,24,21,0.00013254108034288503,diisopropyl ether,350.0,water-ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,3,0,101325.0,5.428428941112173e-05,3
0.0001,1.0000244028486236,0.9999755977468608,111-27-3,28,16,0.002451864946536042,1-hexanol,350.0,water-ZSIAUFGUXNUGDI-UHFFFAOYSA-N,12,0,101325.0,2.4402253139155228e-05,12
0.0001,1.0000482246247384,0.9999517777007639,78-93-3,28,11,0.023731294774767098,2-butanone,350.0,water-ZWEHNKRNPOVVGH-UHFFFAOYSA-N,17,0,101325.0,4.822229923606702e-05,17
0.0001,1.0000276735950604,0.9999723271707464,78-83-1,28,15,0.0036187295176185463,2-methyl-1-propanol,350.0,water-ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,13,0,101325.0,2.7672829253644338e-05,13
0.0001,1.000047206883885,0.9999527953444997,78-84-2,28,11,0.04078393659055746,isobutyraldehyde,350.0,water-AMIMRNSIRUDHCM-UHFFFAOYSA-N,17,0,200000.0,4.7204655500343584e-05,17
0.0001,1.0000502488979681,0.9999497536268568,67-64-1,28,0,0.042710429862470645,acetone,350.0,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,28,0,200000.0,5.024637314321456e-05,28
0.0001,1.0000472761064838,0.9999527261284408,123-86-4,24,17,0.0009353716517266353,butyl acetate,350.0,water-DKPFZGUDAPQIHT-UHFFFAOYSA-N,7,0,200000.0,4.727387155922802e-05,7
0.0001,1.000061806483699,0.9999381973361063,98-01-1,24,14,0.0023403500283826206,2-furaldehyde,350.0,water-HYBBIBNJHNGZAN-UHFFFAOYSA-N,10,0,200000.0,6.180266389366196e-05,10
0.0001,1.0000527829392076,0.9999472198466839,108-94-1,24,14,0.0017361358742813415,cyclohexanone,350.0,water-JHIVVAPYMSGYDF-UHFFFAOYSA-N,10,0,200000.0,5.278015331611208e-05,10
0.0001,1.0000409771168925,0.9999590245621628,64-17-5,27,0,0.05504596882209378,ethanol,350.0,water-LFQSCWFLJHTTHZ-UHFFFAOYSA-N,27,0,200000.0,4.097543783720958e-05,27
0.0001,1.0000335842577415,0.999966416870123,71-36-3,28,15,0.0035759580102657784,1-butanol,350.0,water-LRHPLDYGYMQRHN-UHFFFAOYSA-N,13,0,200000.0,3.358312987700174e-05,13
0.0001,1.0000488690229374,0.9999511333651273,123-92-2,24,17,0.0009995012899507438,isoamyl acetate,350.0,water-MLFHJEHSLIIPHL-UHFFFAOYSA-N,7,0,200000.0,4.886663487269072e-05,7
0.0001,1.0000220859720543,0.999977914515725,75-85-4,24,13,0.001903714264822054,2-methyl-2-butanol,350.0,water-MSXVEPNJUHWQHW-UHFFFAOYSA-N,11,0,200000.0,2.208548427495849e-05,11
0.0001,1.0000420163449526,0.9999579854203464,111-46-6,30,0,0.05942048893846141,diethylene glycol,350.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,30,0,200000.0,4.201457965358202e-05,0
0.0001,1.000054178095154,0.9999458248399531,109-87-5,28,8,0.06348131109810973,dimethoxymethane,350.0,water-NKDDWNXOKDWJAK-UHFFFAOYSA-N,20,0,200000.0,5.417516004690981e-05,20
0.0001,1.000042285754622,0.9999577160333873,67-56-1,27,0,0.07597463829713391,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,27,0,200000.0,4.22839666126551e-05,27
0.0001,1.0000273999715195,0.9999726007792185,123-51-3,24,15,0.002137730057751419,3-methyl-1-butanol,350.0,water-PHTQWCKDNZKARW-UHFFFAOYSA-N,9,0,200000.0,2.739922078154322e-05,9
0.0001,1.0000446176272229,0.999955384363421,111-76-2,24,14,0.00680155563190743,2-butoxyethanol,350.0,water-POAOYUHQDCAZBD-UHFFFAOYSA-N,10,0,200000.0,4.461563657898182e-05,10
0.0001,1.0000450228767872,0.999954979150181,60-29-7,24,14,0.0136023274035445,diethyl ether,350.0,water-RTZKZFJDLAIYFH-UHFFFAOYSA-N,10,0,200000.0,4.5020849819055186e-05,10
,,,98-82-8,24,24,,cumene,350.0,water-RWGFKTVRMDUZSP-UHFFFAOYSA-N,0,0,200000.0,,0
0.0001,1.0000638261661692,0.9999361779073502,123-91-1,24,0,0.006083662293716263,"1,4-dioxane",350.0,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,24,0,200000.0,6.38220926497679e-05,24
0.0001,1.000049151410388,0.9999508510053544,141-79-7,24,14,0.006648699420944371,mesityl oxide,350.0,water-SHOJXDKTYKFBRD-UHFFFAOYSA-N,10,0,200000.0,4.9148994645586974e-05,10
0.0001,1.0000397020333567,0.9999602995428322,123-42-2,30,8,0.022253042290232727,diacetone alcohol,350.0,water-SWXVUIWOUIDPGS-UHFFFAOYSA-N,22,0,200000.0,3.970045716783499e-05,0
0.0001,1.0000435660609859,0.999956435836933,100-51-6,24,20,3.5920798564181844e-05,benzyl alcohol,350.0,water-WVDDGKGOMKODPV-UHFFFAOYSA-N,4,0,200000.0,4.356416306694477e-05,4
0.0001,1.0000573024792492,0.9999427008041367,109-99-9,28,8,0.0007945583837132286,tetrahydrofuran,350.0,water-WYURNTSHIVDZCO-UHFFFAOYSA-N,20,0,200000.0,5.7299195863280694e-05,20
0.0001,1.0000510025159255,0.9999490000851984,141-78-6,24,13,0.011524268060283838,ethyl acetate,350.0,water-XEKOWRVHYACXOJ-UHFFFAOYSA-N,11,0,200000.0,5.099991480161936e-05,11
0.0001,1.0000542872363551,0.9999457157105889,108-20-3,24,21,0.00013254108034288503,diisopropyl ether,350.0,water-ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,3,0,200000.0,5.428428941112173e-05,3
0.0001,1.0000244028486236,0.9999755977468608,111-27-3,28,16,0.002451864946536042,1-hexanol,350.0,water-ZSIAUFGUXNUGDI-UHFFFAOYSA-N,12,0,200000.0,2.4402253139155228e-05,12
0.0001,1.0000482246247384,0.9999517777007639,78-93-3,28,11,0.023731294774767098,2-butanone,350.0,water-ZWEHNKRNPOVVGH-UHFFFAOYSA-N,17,0,200000.0,4.822229923606702e-05,17
0.0001,1.0000276735950604,0.9999723271707464,78-83-1,28,15,0.0036187295176185463,2-methyl-1-propanol,350.0,water-ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,13,0,200000.0,2.7672829253644338e-05,13
0.0001,1.000079529087635,0.9999204772367378,78-84-2,28,11,0.004025104073945962,isobutyraldehyde,400.0,water-AMIMRNSIRUDHCM-UHFFFAOYSA-N,17,0,101325.0,7.952276326217422e-05,17
0.0001,1.000077301896987,0.9999227040781342,67-64-1,28,0,0.009131985684323274,acetone,400.0,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,28,0,101325.0,7.729592186578316e-05,28
0.0001,1.0000849245199084,0.9999150826916532,123-86-4,24,17,0.00020365951081813272,butyl acetate,400.0,water-DKPFZGUDAPQIHT-UHFFFAOYSA-N,7,0,101325.0,8.491730834681022e-05,7
0.0001,1.0000810924156405,0.9999189141598062,98-01-1,24,14,0.0006186771317139295,2-furaldehyde,400.0,water-HYBBIBNJHNGZAN-UHFFFAOYSA-N,10,0,101325.0,8.108584019383969e-05,10
0.0001,1.0000812254552465,0.9999187811417922,108-94-1,24,14,0.000895783012864193,cyclohexanone,400.0,water-JHIVVAPYMSGYDF-UHFFFAOYSA-N,10,0,101325.0,8.121885820777663e-05,10
0.0001,1.0000626825041816,0.9999373214246684,64-17-5,27,0,0.014174114529341697,ethanol,400.0,water-LFQSCWFLJHTTHZ-UHFFFAOYSA-N,27,0,101325.0,6.267857533159837e-05,27
0.0001,1.0000725194385256,0.999927485820162,71-36-3,28,15,0.0012550032283570323,1-butanol,400.0,water-LRHPLDYGYMQRHN-UHFFFAOYSA-N,13,0,101325.0,7.251417983800135e-05,13
0.0001,1.0000826294501155,0.9999173773769464,123-92-2,24,17,9.874256441821938e-05,isoamyl acetate,400.0,water-MLFHJEHSLIIPHL-UHFFFAOYSA-N,7,0,101325.0,8.262262305358536e-05,7
0.0001,1.000075031308143,0.9999249743211319,75-85-4,24,13,0.0012094030307839843,2-methyl-2-butanol,400.0,water-MSXVEPNJUHWQHW-UHFFFAOYSA-N,11,0,101325.0,7.50256788680792e-05,11
0.0001,1.000069365026812,0.9999306397843613,111-46-6,30,0,0.012507846966917202,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,30,0,101325.0,6.936021563874739e-05,0
0.0001,1.0000833996121261,0.9999166073427891,109-87-5,28,8,0.005185753614756372,dimethoxymethane,400.0,water-NKDDWNXOKDWJAK-UHFFFAOYSA-N,20,0,101325.0,8.339265721091227e-05,20
0.0001,1.0000515497030587,0.9999484529541762,67-56-1,27,0,0.015260273662280666,methanol,400.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,27,0,101325.0,5.154704582377434e-05,27
0.0001,1.0000736763069416,0.9999263291208567,123-51-3,24,15,0.0005231297093856169,3-methyl-1-butanol,400.0,water-PHTQWCKDNZKARW-UHFFFAOYSA-N,9,0,101325.0,7.367087914333936e-05,9
0.0001,1.0000787795527246,0.9999212266530044,111-76-2,24,14,0.0011087005709593534,2-butoxyethanol,400.0,water-POAOYUHQDCAZBD-UHFFFAOYSA-N,10,0,101325.0,7.877334699557537e-05,10
0.0001,1.000082816776605,0.9999171900814456,60-29-7,24,14,0.0008703717121333332,diethyl ether,400.0,water-RTZKZFJDLAIYFH-UHFFFAOYSA-N,10,0,101325.0,8.28099185543607e-05,10
,,,98-82-8,24,24,,cumene,400.0,water-RWGFKTVRMDUZSP-UHFFFAOYSA-N,0,0,101325.0,,0
0.0001,1.000080960754027,0.999919045800086,123-91-1,24,0,0.00753591818490873,"1,4-dioxane",400.0,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,24,0,101325.0,8.095419991405173e-05,24
0.0001,1.0000799461865075,0.9999200602043743,141-79-7,24,12,0.005313384551918321,mesityl oxide,400.0,water-SHOJXDKTYKFBRD-UHFFFAOYSA-N,12,0,101325.0,7.99397956257053e-05,12
0.0001,1.000075126808183,0.9999248788354304,123-42-2,30,5,0.007514662478534717,diacetone alcohol,400.0,water-SWXVUIWOUIDPGS-UHFFFAOYSA-N,25,0,101325.0,7.512116456964701e-05,0
0.0001,1.000078369041547,0.9999216370996784,100-51-6,24,20,2.791127276235983e-05,benzyl alcohol,400.0,water-WVDDGKGOMKODPV-UHFFFAOYSA-N,4,0,101325.0,7.836290032159354e-05,4
0.0001,1.000081969285668,0.9999180374327452,109-99-9,28,8,0.0028860722471648614,tetrahydrofuran,400.0,water-WYURNTSHIVDZCO-UHFFFAOYSA-N,20,0,101325.0,8.196256725478968e-05,20
