cas_number,reason
100-63-0,outside_declared_element_domain
107-10-8,outside_declared_element_domain
108-48-5,outside_declared_element_domain
108-89-4,outside_declared_element_domain
108-93-0,pure_liquid_inlet_scope_not_established
108-95-2,pure_liquid_inlet_scope_not_established
108-99-6,outside_declared_element_domain
109-06-8,outside_declared_element_domain
109-73-9,outside_declared_element_domain
109-89-7,outside_declared_element_domain
110-63-4,pure_liquid_inlet_scope_not_established
110-86-1,outside_declared_element_domain
110-91-8,outside_declared_element_domain
120-94-5,outside_declared_element_domain
121-44-8,outside_declared_element_domain
126-33-0,outside_declared_element_domain
127-19-5,outside_declared_element_domain
513-85-9,pure_liquid_inlet_scope_not_established
62-53-3,outside_declared_element_domain
626-93-7,pure_liquid_inlet_scope_not_established
75-65-0,pure_liquid_inlet_scope_not_established
79-34-5,outside_declared_element_domain
91-22-5,outside_declared_element_domain
98-86-2,pure_liquid_inlet_scope_not_established
