acquisition_route,conditions,control_task,id,kind,priority,property,reason,reference_value,satisfied,status,training_overlap_known,unit,water_context_id
normalized_local_measurements,"{""additive_cas"":""141-79-7"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""inlet_temperature_k"":293.15,""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-fafd7a8498fe894a7bdeefde,mixture_caloric_reference,4,delta_h_j_kg,unresolved_sampled_phase_or_feasibility_transition,,False,pending_external_reference,False,J/kg,
normalized_local_measurements,"{""additive_cas"":""111-27-3"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""inlet_temperature_k"":293.15,""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-fbbaffdcdff7af8d9f3b9f6f,mixture_caloric_reference,4,delta_h_j_kg,unresolved_sampled_phase_or_feasibility_transition,,False,pending_external_reference,False,J/kg,
phase_measurement_adapter_required,"{""additive_cas"":""108-20-3"",""additive_mass_fraction"":0.000316227766017,""composition_basis"":""mass"",""outlet_temperature_k"":400.0,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-fd7381a0f236fe24941ab000,mixture_phase_reference,4,equilibrium_phase_split,representative_domain_validation,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
normalized_local_measurements,"{""additive_cas"":""71-36-3"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""inlet_temperature_k"":293.15,""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-fe5e9455e07abd797f9e358f,mixture_caloric_reference,4,delta_h_j_kg,unresolved_sampled_phase_or_feasibility_transition,,False,pending_external_reference,False,J/kg,
normalized_local_measurements,"{""additive_cas"":""98-82-8"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""inlet_temperature_k"":293.15,""outlet_temperature_k"":375.0,""pressure_pa"":110314.038831,""water_cas"":""7732-18-5""}",,need-ff2649f150149b68d48eae10,mixture_caloric_reference,4,delta_h_j_kg,unresolved_sampled_phase_or_feasibility_transition,,False,pending_external_reference,False,J/kg,
normalized_local_measurements,"{""additive_cas"":""67-56-1"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""inlet_temperature_k"":293.15,""outlet_temperature_k"":375.0,""pressure_pa"":105724.02747,""water_cas"":""7732-18-5""}",,need-ff89a2dc4ed31fc26fbb90c1,mixture_caloric_reference,4,delta_h_j_kg,unresolved_sampled_phase_or_feasibility_transition,,False,pending_external_reference,False,J/kg,
phase_measurement_adapter_required,"{""additive_cas"":""123-42-2"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-025ca84fa7f3d805c9b363b2,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""111-27-3"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-03af8f4c392efde27d282463,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""108-94-1"",""additive_mass_fraction"":0.000316227766017,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-050dae60e29af454006d03a6,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""78-83-1"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-05fb3d87cc41121544314675,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""141-78-6"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-0688d2f3430218fb30fb9abe,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""108-20-3"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-074832a463afa6b155c234ba,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""111-76-2"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-08522c450d990536cff1fb54,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""141-79-7"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":375.0,""pressure_pa"":110314.038831,""water_cas"":""7732-18-5""}",,need-09de6af9263acc8a34739cd5,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""123-42-2"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-0cc2bf42b34df3597b7b940b,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""123-92-2"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":375.0,""pressure_pa"":110314.038831,""water_cas"":""7732-18-5""}",,need-0d51eb13a5cd10c32a38feaa,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""98-82-8"",""additive_mass_fraction"":0.000316227766017,""composition_basis"":""mass"",""outlet_temperature_k"":356.25,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-0e1d53269f4e84b972b734b9,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""108-20-3"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-125dd63eb04c0c5be43bc29d,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""123-86-4"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-153de0c9ae6c66b1242a1c06,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""75-85-4"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-1716baba5640320a481e62bc,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""71-36-3"",""additive_mass_fraction"":0.000316227766017,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-172a8d212b8b6d7c16e2d4dd,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""64-17-5"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":390.625,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-1839157408fbb9c76835327a,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""98-01-1"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-1b51744235cd687ea93046da,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""71-36-3"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-1d51494a6cc3d2f04a02e4d0,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""78-93-3"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-1d79a61b8093173410ea28cf,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""109-87-5"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":375.0,""pressure_pa"":110314.038831,""water_cas"":""7732-18-5""}",,need-1dc9af2736469942ce396df2,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""60-29-7"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-21966931c53a968f9c97c9ad,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""123-86-4"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-21b32af18506da6558991298,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""108-94-1"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-22b62c46cded90d0cca9018e,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""78-84-2"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-2374de256ebf06671d3c04bf,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""100-51-6"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-27474cd75de103dd9330efc7,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""78-93-3"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":375.0,""pressure_pa"":110314.038831,""water_cas"":""7732-18-5""}",,need-27912f241244a18fc325f4a3,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""123-92-2"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-2a00e5192a6c221d697b089d,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""141-78-6"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":375.0,""pressure_pa"":110314.038831,""water_cas"":""7732-18-5""}",,need-2b871c3af362bac104baff26,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""75-85-4"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-2bab002e031dd8343bfc386d,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""123-91-1"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":390.625,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-2bdad693345b156a4bcbed35,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""123-51-3"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-2d798b8fe60dea27ebfc5ec8,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""78-84-2"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":375.0,""pressure_pa"":110314.038831,""water_cas"":""7732-18-5""}",,need-2eda543e977d966f9b76f71c,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""98-82-8"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-2efed0a12b4cdc5548767aae,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""111-76-2"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":375.0,""pressure_pa"":110314.038831,""water_cas"":""7732-18-5""}",,need-3128136a5dcc417baa98884b,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""64-17-5"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":371.875,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-315355396c382f1915aa2dcb,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
