comparison_allowed,context_id,endpoint_relative_error,error,heos_delta_h_j_kg,model_delta_h_j_kg,pressure_pa,status,task_key,temperature_k
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04753384477263267,,237831.83529324378,226526.7737524244,101325.0,ok,65f1288e23c8100b5792423f120268c6b211dbf561df8a9b6c98ff81b48f5c8a,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04753264022098069,,237831.53451576605,226526.7737524244,103501.145324,ok,21146c1c4c4d554b990d0c152aecc5c8c52b0c6278507e24fd26505be500a2fe,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04753140981311488,,237831.2272827572,226526.7737524244,105724.02747,ok,d058cf933bb035fb6ff5a49f7508a5645104639f655890a603b2d46f5ceeca27,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04753015299465568,,237830.91345583915,226526.7737524244,107994.650199,ok,0b07f6bd626ca27d2c083ec3fa8726a6c42b47236c99fa417966212dc861edf7,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.047528869198547485,,237830.59289347118,226526.7737524244,110314.038831,ok,d428122fed482b2eea25a5a2959c45208f24dab2c1a4907d31230e1905ab5c44,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04752621834697801,,237829.93098170776,226526.7737524244,115103.325652,ok,242b74037631f2e40f960ef6d0fcd7fb66bfc0b08922f3a664614a1bad7a81d1,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04752485009666241,,237829.5893340772,226526.7737524244,117575.386485,ok,ee2e27c6a147eb7350d8eb505d1e4cb7b595ecb4519ebcd30d6ffbf9427e6466,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.0475234524789111,,237829.24035450735,226526.7737524244,120100.539483,ok,3e29fd724a5ed6e94ae3a99db712cab32ce08c19a459a0cc7b3e9682df2e37f8,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04752202486257684,,237828.88388546853,226526.7737524244,122679.9249,ok,e60cb6974fc14a2e8068303a6ac374edcef9cdb6b5a164cc7c74fd4632eaab22,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.047520566605364634,,237828.5197666508,226526.7737524244,125314.70748,ok,fc0cde2ea2db8e465c828195cd087c80ed93a9f0d03fbfd91e8a53addfbd91a7,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04751907704983216,,237828.1478339655,226526.7737524244,128006.076982,ok,022f25cf98257c60fdba0c42914541c20667b7342f350fc0d43d7cc4660f3c0a,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04751755552430725,,237827.76791977434,226526.7737524244,130755.248715,ok,472cbe36f1e96bc8992812895091a469ba69777b2fc1913129000acca332450e,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04751600134375733,,237827.37985310692,226526.7737524244,133563.464092,ok,6f39bee8fff94f632d666e65165f9a3fba7c9557700b08f8fa182e2c3ee92964,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04751441380738808,,237826.98345906107,226526.7737524244,136431.991187,ok,312db37a7c362eb7a6b0f08a168ea2a5cbf21de6c40d8ac7fa2ee08b05ff338e,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04751279219999971,,237826.5785591418,226526.7737524244,139362.125307,ok,0468ec2bf3ca303e546210c0df0f294c65b44b1900c2591843c5e14e0439d041,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.047511135789807146,,237826.16497071722,226526.7737524244,142355.189579,ok,f3c9b928088bab1520cc51f7b31094368147cc1b7e18a0cd489ea21f6383a7ac,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04750414696459615,,237824.41994947405,226526.7737524244,154984.218218,ok,b5e5a7e19ac63794f7e0dff52d926c257d89b081d228b9be752ee0861109606c,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.047500423560520866,,237823.490273035,226526.7737524244,161712.862021,ok,e3fafb1889d0de5a613f975b6a8e20b37862d00357d51427b70c6739aa56a0b7,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04749653864306691,,237822.52027695012,226526.7737524244,168733.630067,ok,22f59e9708760f970cff97e9bde5645f1ee37bae350fb27159e35774cefa42bb,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.047496538642473274,,237822.5202768019,226526.7737524244,168733.630068,ok,a9a4824022515bff1eb982af3ef7d0096691fabbaaee2e7e92eb56482acb5fb4,350.0
