cas_number,inchi_key,models,name,pair_id,procurement_verified,smiles
22025-20-3,LTTHCWFPLXSQOD-UHFFFAOYSA-N,"[""unifac_dortmund""]","3,3-dimethyl-2-hexanol",water-LTTHCWFPLXSQOD-UHFFFAOYSA-N,False,CCCC(C)(C)C(C)O
22026-12-6,KPVFRXPKBAAIIE-UHFFFAOYSA-N,"[""unifac_dortmund""]",6-tridecanone,water-KPVFRXPKBAAIIE-UHFFFAOYSA-N,False,CCCCCCCC(=O)CCCCC
22056-82-2,IAHZBRPNDIVNNR-UHFFFAOYSA-N,"[""unifac_dortmund""]",ethoxyacetaldehyde,water-IAHZBRPNDIVNNR-UHFFFAOYSA-N,False,CCOCC=O
2206-94-2,HWCUCNKPBMGSSC-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-phenylethenyl acetate,water-HWCUCNKPBMGSSC-UHFFFAOYSA-N,False,C=C(OC(C)=O)c1ccccc1
2207-01-4,KVZJLSYJROEPSQ-OCAPTIKFSA-N,"[""unifac_dortmund""]","cis-1,2-dimethylcyclohexane",water-KVZJLSYJROEPSQ-OCAPTIKFSA-N,False,C[C@@H]1CCCC[C@@H]1C
22094-23-1,FXPPNKAYSGWCQG-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-acetoxypropanal,water-FXPPNKAYSGWCQG-UHFFFAOYSA-N,False,CC(=O)OC(C)C=O
22094-81-1,YSWATWCBYRBYBO-UHFFFAOYSA-N,"[""unifac_dortmund""]",6-butyl-2-norbornene,water-YSWATWCBYRBYBO-UHFFFAOYSA-N,False,CCCCC1CC2C=CC1C2
22094-83-3,WMWDGZLDLRCDRG-UHFFFAOYSA-N,"[""unifac_dortmund""]","bicyclo[2.2.1]hept-2-ene, 5-hexyl-",water-WMWDGZLDLRCDRG-UHFFFAOYSA-N,False,CCCCCCC1CC2C=CC1C2
2210-28-8,NHARPDSAXCBDDR-UHFFFAOYSA-N,"[""unifac_dortmund""]",propyl methacrylate,water-NHARPDSAXCBDDR-UHFFFAOYSA-N,False,C=C(C)C(=O)OCCC
2210-32-4,MWJNGKOBSUBRNM-UHFFFAOYSA-N,"[""unifac_dortmund""]",2210-32-4,water-MWJNGKOBSUBRNM-UHFFFAOYSA-N,False,CCC(C)OC(=O)C=CC(=O)OC(C)CC
22104-77-4,ASFYPVGAALGVNR-UHFFFAOYSA-N,"[""unifac_dortmund""]","2-hepten-1-ol, (2e)-",water-ASFYPVGAALGVNR-UHFFFAOYSA-N,False,CCCCC=CCO
22104-79-6,NSSALFVIQPAIQK-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-nonen-1-ol,water-NSSALFVIQPAIQK-UHFFFAOYSA-N,False,CCCCCCC=CCO
22104-80-9,QOPYYRPCXHTOQZ-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-decen-1-ol,water-QOPYYRPCXHTOQZ-UHFFFAOYSA-N,False,CCCCCCCC=CCO
22122-36-7,VGHBEMPMIVEGJP-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-methyl-2(5h)-furanone,water-VGHBEMPMIVEGJP-UHFFFAOYSA-N,False,CC1=CCOC1=O
2213-23-2,AUKVIBNBLXQNIZ-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,4-dimethylheptane",water-AUKVIBNBLXQNIZ-UHFFFAOYSA-N,False,CCCC(C)CC(C)C
2213-32-3,LXQPBCHJNIOMQU-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,4-dimethyl-1-pentene",water-LXQPBCHJNIOMQU-UHFFFAOYSA-N,False,C=C(C)CC(C)C
22135-49-5,HQRWWHIETAKIMO-JTQLQIEISA-N,"[""unifac_dortmund""]",(1s)-1-phenylbutan-1-ol,water-HQRWWHIETAKIMO-JTQLQIEISA-N,False,CCC[C@H](O)c1ccccc1
2214-14-4,OGUNTYRKFMVMLS-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-phenyl-1-methylcyclopropane,water-OGUNTYRKFMVMLS-UHFFFAOYSA-N,False,CC1(c2ccccc2)CC1
2216-30-0,HQZHQNKZOYIKQC-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,5-dimethylheptane",water-HQZHQNKZOYIKQC-UHFFFAOYSA-N,False,CCC(C)CCC(C)C
2216-32-2,XMROPFQWHHUFFS-UHFFFAOYSA-N,"[""unifac_dortmund""]",4-ethylheptane,water-XMROPFQWHHUFFS-UHFFFAOYSA-N,False,CCCC(CC)CCC
2216-33-3,SEEOMASXHIJCDV-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-methyloctane,water-SEEOMASXHIJCDV-UHFFFAOYSA-N,False,CCCCCC(C)CC
2216-34-4,DOGIHOCMZJUJNR-UHFFFAOYSA-N,"[""unifac_dortmund""]",4-methyloctane,water-DOGIHOCMZJUJNR-UHFFFAOYSA-N,False,CCCCC(C)CCC
2216-52-6,NOOLISFMXDJSKH-UTLUCORTSA-N,"[""unifac_dortmund""]",(+)-neomenthol,water-NOOLISFMXDJSKH-UTLUCORTSA-N,False,CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O
2216-69-5,NQMUGNMMFTYOHK-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-methoxynaphthalene,water-NQMUGNMMFTYOHK-UHFFFAOYSA-N,False,COc1cccc2ccccc12
2216-70-8,LLCIDQNOIXWXCW-UHFFFAOYSA-N,"[""unifac_dortmund""]","7-methyl-2,4-octadiene",water-LLCIDQNOIXWXCW-UHFFFAOYSA-N,False,CC=CC=CCC(C)C
2216-81-1,BGYICJVBGZQOCY-UHFFFAOYSA-N,"[""unifac_dortmund""]",heptyl propanoate,water-BGYICJVBGZQOCY-UHFFFAOYSA-N,False,CCCCCCCOC(=O)CC
2216-87-7,YNMZZHPSYMOGCI-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-undecanone,water-YNMZZHPSYMOGCI-UHFFFAOYSA-N,False,CCCCCCCCC(=O)CC
2217-17-6,PWYLDJLMYGOPSR-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,4,5,7-tetramethyloctane",water-PWYLDJLMYGOPSR-UHFFFAOYSA-N,False,CC(C)CC(C)C(C)CC(C)C
2220-40-8,UJVGEBBKXJLFPB-UHFFFAOYSA-N,"[""unifac_dortmund""]",bicyclo[2.2.2]octenone,water-UJVGEBBKXJLFPB-UHFFFAOYSA-N,False,O=C1CC2C=CC1CC2
2223-54-3,IDFBAZYYEXBGJO-UHFFFAOYSA-N,"[""unifac_dortmund""]","3,3,6,6-tetramethylcyclohexa-1,4-diene",water-IDFBAZYYEXBGJO-UHFFFAOYSA-N,False,CC1(C)C=CC(C)(C)C=C1
