automatically_acquired,cas_number,needed,pair_id,status
False,62184-73-0,"[""mixture_caloric_and_phase_validation"",""thermal_decomposition_and_air_reactions"",""porous_delivery_and_residue"",""injection_heat_transfer_coupling"",""procurement_and_hardware_safety""]",water-NVCDNLWOUSWNRQ-UHFFFAOYSA-N,not_satisfied
False,4536-87-2,"[""mixture_caloric_and_phase_validation"",""thermal_decomposition_and_air_reactions"",""porous_delivery_and_residue"",""injection_heat_transfer_coupling"",""procurement_and_hardware_safety""]",water-NVHBFHMWJJMQTG-UHFFFAOYSA-N,not_satisfied
False,41845-48-1,"[""mixture_caloric_and_phase_validation"",""thermal_decomposition_and_air_reactions"",""porous_delivery_and_residue"",""injection_heat_transfer_coupling"",""procurement_and_hardware_safety""]",water-NWQWWOHNBLAJQT-UHFFFAOYSA-N,not_satisfied
False,20754-04-5,"[""mixture_caloric_and_phase_validation"",""thermal_decomposition_and_air_reactions"",""porous_delivery_and_residue"",""injection_heat_transfer_coupling"",""procurement_and_hardware_safety""]",water-NXTOCVYXABBSGX-UHFFFAOYSA-N,not_satisfied
False,6137-15-1,"[""mixture_caloric_and_phase_validation"",""thermal_decomposition_and_air_reactions"",""porous_delivery_and_residue"",""injection_heat_transfer_coupling"",""procurement_and_hardware_safety""]",water-NXWYGZOSQBYIAH-UHFFFAOYSA-N,not_satisfied
False,5837-78-5,"[""mixture_caloric_and_phase_validation"",""thermal_decomposition_and_air_reactions"",""porous_delivery_and_residue"",""injection_heat_transfer_coupling"",""procurement_and_hardware_safety""]",water-OAPHLAAOJMTMLY-GQCTYLIASA-N,not_satisfied
False,103-65-1,"[""mixture_caloric_and_phase_validation"",""thermal_decomposition_and_air_reactions"",""porous_delivery_and_residue"",""injection_heat_transfer_coupling"",""procurement_and_hardware_safety""]",water-ODLMAHJVESYWTB-UHFFFAOYSA-N,not_satisfied
False,62183-81-7,"[""mixture_caloric_and_phase_validation"",""thermal_decomposition_and_air_reactions"",""porous_delivery_and_residue"",""injection_heat_transfer_coupling"",""procurement_and_hardware_safety""]",water-ODZRFEPMTHWMBK-UHFFFAOYSA-N,not_satisfied
False,109-66-0,"[""mixture_caloric_and_phase_validation"",""thermal_decomposition_and_air_reactions"",""porous_delivery_and_residue"",""injection_heat_transfer_coupling"",""procurement_and_hardware_safety""]",water-OFBQJSOFQDEBGM-UHFFFAOYSA-N,not_satisfied
False,91819-58-8,"[""mixture_caloric_and_phase_validation"",""thermal_decomposition_and_air_reactions"",""porous_delivery_and_residue"",""injection_heat_transfer_coupling"",""procurement_and_hardware_safety""]",water-OGCGGWYLHSJRFY-UHFFFAOYSA-N,not_satisfied
False,2384-92-1,"[""mixture_caloric_and_phase_validation"",""thermal_decomposition_and_air_reactions"",""porous_delivery_and_residue"",""injection_heat_transfer_coupling"",""procurement_and_hardware_safety""]",water-OGQVROWWFUXRST-UHFFFAOYSA-N,not_satisfied
False,101-43-9,"[""mixture_caloric_and_phase_validation"",""thermal_decomposition_and_air_reactions"",""porous_delivery_and_residue"",""injection_heat_transfer_coupling"",""procurement_and_hardware_safety""]",water-OIWOHHBRDFKZNC-UHFFFAOYSA-N,not_satisfied
False,72845-78-4,"[""mixture_caloric_and_phase_validation"",""thermal_decomposition_and_air_reactions"",""porous_delivery_and_residue"",""injection_heat_transfer_coupling"",""procurement_and_hardware_safety""]",water-OIZNJBIUUHUFAI-NXEZZACHSA-N,not_satisfied
False,25321-09-9,"[""mixture_caloric_and_phase_validation"",""thermal_decomposition_and_air_reactions"",""porous_delivery_and_residue"",""injection_heat_transfer_coupling"",""procurement_and_hardware_safety""]",water-OKIRBHVFJGXOIS-UHFFFAOYSA-N,not_satisfied
